Timestamp,Temperature (°C),Humidity (%),CO2 (ppm),Oxygen (O2 %),UV Index,Solar Radiation (W/m²),Air Quality (AQI),GSR,Atmospheric Pressure (hPa)
2025-09-30 16:20:34,22.51,65.28,444.16,19.09,2.54,298.61,290.07,32.55,976.53
2025-09-30 16:20:39,22.38,78.52,379.41,20.23,3.71,317.34,55.74,41.29,950.83
2025-09-30 16:20:44,20.14,54.01,447.29,20.67,7.01,251.57,22.34,32.43,1005.94
2025-09-30 16:20:49,16.12,56.38,769.14,19.21,8.84,387.09,384.85,91.0,1014.43
2025-09-30 16:20:54,29.91,60.49,1649.15,19.21,2.35,623.85,28.76,2.29,1002.02
2025-09-30 16:20:59,33.86,50.68,1913.78,19.4,7.45,127.61,94.33,70.21,1013.26
2025-09-30 16:21:04,20.22,60.48,1973.44,20.3,6.28,679.86,193.23,75.61,958.43
2025-09-30 16:21:09,17.04,38.27,540.93,20.93,4.53,534.12,70.2,94.81,957.02
2025-09-30 16:21:14,24.68,59.16,1541.12,20.83,1.39,646.91,242.67,74.19,993.12
2025-09-30 16:21:19,22.26,63.11,1613.79,20.46,3.84,477.72,119.45,54.14,986.05
2025-09-30 16:21:24,22.2,65.21,1238.38,21.0,9.53,447.33,84.96,17.4,952.03
2025-09-30 16:21:29,20.6,65.46,1824.78,19.15,3.76,727.91,498.76,26.21,1027.8
2025-09-30 16:21:34,30.28,80.69,367.95,20.85,6.89,585.13,446.18,92.62,1015.43
2025-09-30 16:21:39,34.36,51.2,658.33,19.34,4.82,80.05,281.24,10.69,965.79
2025-09-30 16:21:44,33.95,33.86,516.72,20.44,10.68,788.43,200.94,55.88,1023.8
2025-09-30 16:21:49,17.9,60.04,572.95,20.26,6.03,456.72,285.08,54.12,974.24
2025-09-30 16:21:54,24.98,31.3,979.73,20.37,5.52,483.96,292.5,2.13,989.96
2025-09-30 16:21:59,22.06,55.28,422.05,19.52,10.62,930.61,374.74,95.88,959.81
2025-09-30 16:22:04,30.36,70.66,1165.39,20.55,9.63,142.33,63.14,20.86,1028.12
2025-09-30 16:22:09,32.63,43.33,535.23,20.5,6.3,266.41,110.06,80.69,951.17
2025-09-30 16:22:14,31.17,50.14,1308.89,20.1,8.52,687.6,105.15,19.81,966.12
2025-09-30 16:22:19,34.45,45.96,1769.91,20.56,6.45,826.35,236.93,13.42,985.36
2025-09-30 16:22:24,17.09,78.21,714.43,20.82,9.29,929.61,437.12,27.09,991.77
2025-09-30 16:22:29,28.75,49.93,1777.05,19.01,6.62,118.18,68.35,14.74,1027.91
2025-09-30 16:22:34,22.24,68.9,1689.51,19.91,2.38,721.87,368.95,87.2,1036.89
2025-09-30 16:22:39,23.76,35.65,1270.11,19.02,1.43,386.13,238.31,16.17,971.92
2025-09-30 16:22:44,20.06,82.11,1829.41,19.53,9.14,700.14,470.42,34.21,959.56
2025-09-30 16:22:49,34.1,51.8,1207.86,19.11,5.32,241.99,430.13,14.71,1046.13
2025-09-30 16:22:54,17.53,88.98,1803.18,19.72,3.66,365.88,450.89,71.31,967.39
2025-09-30 16:22:59,30.56,45.48,853.14,20.35,6.13,913.06,330.16,2.88,1008.75
2025-09-30 16:23:04,16.64,82.58,1864.2,20.92,2.55,632.88,324.85,15.06,1042.3
2025-09-30 16:23:09,27.1,79.29,1628.87,20.48,6.49,691.92,63.96,67.51,1020.2
2025-09-30 16:23:14,15.66,50.45,1107.66,19.89,10.9,239.69,178.41,96.19,1048.42
2025-09-30 16:23:19,15.39,62.13,1406.43,19.58,0.7,611.73,323.11,71.9,955.33
2025-09-30 16:23:24,23.27,87.89,1154.84,20.11,5.38,520.71,39.79,96.81,991.11
2025-09-30 16:23:29,31.81,66.92,380.04,19.26,3.05,938.73,198.64,76.25,997.13
2025-09-30 16:23:34,25.96,51.5,1847.38,20.25,3.27,754.09,79.45,69.87,1048.74
2025-09-30 16:23:39,29.72,52.94,793.73,20.48,8.02,161.96,214.8,53.28,1025.92
2025-09-30 16:23:44,29.49,49.27,1703.09,19.68,10.76,478.68,83.22,97.25,1039.01
2025-09-30 16:23:49,34.29,46.11,761.48,20.25,4.04,274.33,366.33,69.58,976.01
2025-09-30 16:23:54,15.64,79.05,1334.16,19.5,7.13,986.07,415.58,33.33,1035.28
2025-09-30 16:23:59,32.01,67.51,1317.83,20.13,7.21,252.15,347.69,59.55,986.86
2025-09-30 16:24:04,25.52,57.08,647.99,19.81,9.51,749.53,102.59,39.68,968.32
Timestamp,Temperature (°C),Humidity (%),CO2 (ppm),Oxygen (O2 %),UV Index,Solar Radiation (W/m²),Air Quality (AQI),GSR,Atmospheric Pressure (hPa)
2025-10-01 10:40:40,27.1,87.07,954.04,20.55,9.67,935.51,374.26,42.73,984.46
2025-10-01 10:40:45,33.78,68.92,459.76,20.08,1.53,881.94,253.66,10.69,1029.94
2025-10-01 10:40:50,17.4,75.4,1339.34,20.03,5.83,387.48,436.07,30.84,1047.52
2025-10-01 10:40:55,25.31,60.71,1216.2,19.87,6.22,164.56,468.82,24.62,981.88
2025-10-01 10:41:00,20.33,84.02,556.32,19.19,0.62,645.14,453.63,98.46,1043.26
2025-10-01 10:41:05,25.98,39.41,1879.43,20.43,3.64,662.79,203.07,87.63,1020.43
2025-10-01 10:41:10,31.82,86.04,676.82,19.85,9.27,764.47,336.18,64.86,995.37
2025-10-01 10:41:15,25.19,44.74,604.58,19.84,4.71,446.5,287.16,99.23,1002.02
2025-10-01 10:41:20,25.3,74.3,929.13,20.19,2.25,920.27,413.98,8.77,976.9
2025-10-01 10:41:25,26.25,79.26,1110.31,19.78,10.09,613.42,224.7,3.06,951.19
2025-10-01 10:41:30,29.79,73.61,521.9,20.99,8.61,529.51,125.37,69.15,989.77
2025-10-01 10:41:35,23.97,45.27,852.65,20.78,6.99,291.99,488.1,38.95,954.75
2025-10-01 10:41:40,21.36,85.52,1989.81,20.69,6.18,363.21,224.95,70.93,984.34
2025-10-01 10:41:45,29.31,38.46,1624.96,20.2,1.76,422.86,412.96,52.73,1000.32
2025-10-01 10:41:50,25.23,31.05,1182.17,20.12,8.67,614.96,82.47,12.43,1022.11
2025-10-01 10:41:55,27.75,59.86,424.09,19.82,1.46,122.45,273.07,37.01,953.75
2025-10-01 10:42:00,24.17,56.19,897.0,19.92,3.7,540.88,190.53,64.98,994.0
2025-10-01 10:42:05,30.82,55.73,1400.68,20.68,1.62,216.38,83.19,29.05,1045.67
2025-10-01 10:42:10,27.23,36.71,492.9,20.66,0.54,520.2,79.54,77.77,998.62
2025-10-01 10:42:15,30.86,47.56,1134.28,19.35,1.38,812.24,263.37,7.56,1019.41
2025-10-01 10:42:20,27.63,65.78,1966.6,19.76,7.87,907.99,432.98,19.16,997.46
2025-10-01 10:42:25,29.54,47.78,1028.26,19.25,4.98,44.86,250.42,49.71,1010.61
2025-10-01 10:42:30,29.06,72.58,990.54,20.14,6.34,652.66,315.96,81.4,1008.5
2025-10-01 10:42:35,16.68,67.83,1884.25,20.53,5.26,237.42,367.72,4.14,974.2
2025-10-01 10:42:40,30.64,69.47,1088.48,20.88,7.89,499.43,137.28,13.95,977.6
2025-10-01 10:42:45,22.93,66.86,1001.53,19.84,7.22,821.14,97.07,47.07,992.53
2025-10-01 10:42:50,32.54,61.41,1473.02,19.31,9.36,496.17,337.58,90.46,950.78
2025-10-01 10:42:55,27.24,64.75,1145.11,20.16,9.23,0.53,138.81,79.52,967.44
2025-10-01 10:43:00,24.08,44.77,494.21,20.53,3.75,164.54,9.8,73.77,969.52
2025-10-01 10:43:05,17.18,86.34,1487.48,19.88,0.84,119.21,343.35,10.62,1025.12
2025-10-01 10:43:10,24.48,30.58,614.39,20.52,1.82,617.09,446.07,91.89,980.67
2025-10-01 10:43:15,23.5,55.88,546.66,19.68,7.31,180.14,262.54,34.99,967.68
2025-10-01 10:43:20,26.3,56.76,1778.73,20.14,9.47,340.93,305.21,28.19,1047.55
2025-10-01 10:43:25,34.99,35.68,1619.77,19.02,9.91,711.5,314.37,25.4,1031.91
2025-10-01 10:43:30,23.34,41.99,1834.17,19.74,6.38,440.6,52.72,36.62,953.05
2025-10-01 10:43:35,33.31,54.52,1606.94,20.2,10.13,708.93,471.83,57.96,970.78
2025-10-01 10:43:40,19.06,76.52,665.7,20.77,9.54,188.64,234.12,81.0,1020.5
2025-10-01 10:43:45,15.65,38.75,1856.3,19.68,7.18,547.11,9.76,83.06,976.12
2025-10-01 10:43:50,30.31,75.1,1796.58,19.79,2.55,717.03,319.26,82.9,1021.84
2025-10-01 10:43:55,30.96,53.43,863.25,19.87,2.09,178.36,419.91,42.0,998.01
2025-10-01 10:44:00,16.12,87.48,1344.49,20.87,2.45,217.82,168.3,33.28,1044.49
2025-10-01 10:44:05,29.38,52.84,886.39,19.39,6.75,403.18,404.77,0.79,1048.77
2025-10-01 10:44:10,25.45,36.57,1596.16,19.69,5.58,847.01,250.67,23.32,1011.38
2025-10-01 10:44:15,31.68,65.36,1242.51,20.74,6.98,667.9,14.26,93.57,1028.15
2025-10-01 10:44:20,20.93,89.24,921.44,19.27,2.89,936.49,33.39,58.61,997.74
2025-10-01 10:44:25,31.57,74.32,486.64,19.33,10.56,74.22,155.03,23.67,956.49
2025-10-01 10:44:30,16.08,53.61,1988.82,20.23,8.28,455.08,483.19,94.26,1008.9
2025-10-01 10:44:35,23.51,82.21,941.03,20.84,9.03,461.57,448.25,72.87,957.93
2025-10-01 10:44:40,30.22,69.92,1224.91,19.25,10.98,18.92,339.96,84.29,1036.5
2025-10-01 10:44:45,34.39,74.61,1617.08,20.62,4.53,562.97,229.02,98.4,1022.52
2025-10-01 10:44:50,33.62,85.71,539.86,19.61,3.42,578.59,287.41,97.81,1020.01
2025-10-01 10:44:55,18.51,52.59,359.68,20.84,7.67,474.2,352.02,40.58,989.63
2025-10-01 10:45:00,33.24,41.95,624.72,20.2,0.66,171.73,486.89,13.13,972.89
2025-10-01 10:45:05,22.34,32.95,513.16,20.42,8.98,602.12,117.08,45.63,1023.45
2025-10-01 10:45:10,28.62,57.36,1858.97,20.65,4.88,600.2,382.72,57.39,1016.34
2025-10-01 10:45:15,15.7,30.15,1434.17,20.84,4.75,341.72,215.73,53.55,1013.9
2025-10-01 10:45:20,15.79,44.07,1199.64,19.83,2.95,245.65,78.45,7.24,966.93
2025-10-01 10:45:25,34.33,38.6,1408.22,20.45,4.86,241.63,420.72,93.55,1026.78
